,행정구역(시군구)별,총 인구,청년층 총 인구,청년 비율,30대 비율,세대수,청년월세 신청자 비율,청년월세 신청자 비율,청년월세 신청자 비율퍼센트,청년월세 신청자 수,청년월세신청자 상대비율,,청년층 1인 가구,세대수 중 청년층 1인 가구,청년층 의지할 수 있는 주변인 수(평균),학생수,8~19세,15~19세,20-29세,30-39세,40-49세,40~49세 취업자수,15~19세 취업자수,30~49세 취업자 수,15~29세 취업자 수,20대 취업자 수,30대 취업자 수,20대 취업률,30대 취업률,청년 취업률 20~39세,클러스터,청년 순위,1인가구 순위,외로움 순위,고용률 순
0,종로구,151291,48835,0.3228,0.4244,75003,5%,0.05,5,671,1.88065809,2,12346,0.1646,2.950078003,16452,"12,915","5,861",23416,19943,22231,17451,445,31200,12700,12255,13749,0.52,0.69,0.6,1,11,9,8,15
1,중구,128744,43721,0.3396,0.4919,63686,4%,0.04,4,404,1.132318731,1,10155,0.1595,2.968287526,13566,"8,197","3,681",18586,20107,18011,14139,280,30000,11000,10720,15861,0.58,0.79,0.69,2,4,10,9,5
2,용산구,225882,74641,0.3304,0.5301,113093,5%,0.05,5,838,2.348720536,2,17969,0.1589,3.418141593,15852,"18,541","8,417",33485,38069,35698,28023,640,58300,20100,19460,30277,0.58,0.8,0.7,2,12,11,21,2
3,성동구,291918,97407,0.3337,0.5037,135870,5%,0.05,5,1087,3.046610051,3,20619,0.1518,2.721843003,20447,"23,846","10,698",45043,48905,45020,35341,813,70700,23200,22387,35359,0.5,0.72,0.61,1,10,15,2,12
4,광진구,353967,125663,0.355,0.4572,167427,7%,0.07,7,2431,6.813531769,7,35215,0.2103,3.41322314,28972,"30,694","13,694",62940,55983,52482,41198,1041,80000,35000,33959,38802,0.54,0.69,0.61,1,2,2,20,14
5,동대문구,351057,119290,0.3398,0.4326,167598,3%,0.03,3,1071,3.001765745,3,31265,0.1865,3.009881423,26533,"28,243","12,589",56331,50175,50630,39745,957,77100,29600,28643,37355,0.51,0.74,0.62,1,6,6,12,10
6,중랑구,385663,113467,0.2942,0.5093,185920,4%,0.04,4,852,2.387959304,2,19329,0.104,3.018900344,27353,"31,929","14,379",56112,58124,57883,45438,1093,83800,30900,29807,38362,0.53,0.66,0.6,3,17,20,13,16
7,성북구,438833,136121,0.3102,0.4423,195396,6%,0.06,6,1886,5.28602259,5,30601,0.1566,2.882857143,37884,"44,193","19,805",66972,59843,69839,54824,1505,91200,33500,31995,36376,0.48,0.61,0.54,3,15,13,5,21
8,강북구,299535,81088,0.2707,0.4723,145896,7%,0.07,7,988,2.769135906,3,14642,0.1004,2.728417266,21398,"25,967","11,979",42944,38757,46718,36674,910,59000,22600,21690,22326,0.51,0.58,0.54,3,22,22,3,22
9,도봉구,315979,82745,0.2619,0.4815,139114,4%,0.04,4,415,1.163149191,1,9391,0.0675,2.330508475,27661,"30,253","13,924",43412,40993,48535,38100,1058,61200,23700,22642,23100,0.52,0.56,0.54,3,24,25,1,20
10,노원구,511982,137442,0.2685,0.4602,218270,5%,0.05,5,830,2.326298383,2,18188,0.0833,3.116580311,61078,"61,714","28,961",73182,64740,86240,67698,2201,106000,34600,32399,38302,0.44,0.59,0.51,3,23,23,17,25
11,은평구,463102,131562,0.2841,0.5102,213914,5%,0.05,5,1193,3.343703579,3,22346,0.1045,3.097928437,43300,"45,787","20,599",67058,68502,76628,60153,1566,103200,34900,33334,43047,0.5,0.63,0.56,3,19,19,16,18
12,서대문구,317209,105974,0.3341,0.4344,144838,5%,0.05,5,1354,3.79494941,4,26934,0.186,3.470347648,24144,"28,065","12,707",50356,45109,47487,37277,966,68100,29600,28634,30823,0.57,0.68,0.62,1,8,7,24,9
13,마포구,365612,129653,0.3546,0.4986,178482,6%,0.06,6,2089,5.854984725,6,37157,0.2082,3.428927681,27821,"33,853","14,602",61904,64486,60995,47881,1110,94700,38300,37190,46819,0.6,0.73,0.66,2,5,3,22,7
14,양천구,439068,113030,0.2574,0.499,180633,4%,0.04,4,482,1.350934724,1,12612,0.0698,3.090507726,52115,"59,553","26,057",59774,57820,78993,62010,1980,98900,26400,24420,36890,0.41,0.64,0.52,3,25,24,15,24
15,강서구,564854,181364,0.3211,0.5386,266982,5%,0.05,5,1953,5.473808122,5,42160,0.1579,3.232273839,51758,"53,950","23,492",86991,99062,90888,71347,1785,142000,49600,47815,70653,0.55,0.71,0.64,1,13,12,18,8
16,구로구,435442,126237,0.2899,0.5507,180531,5%,0.05,5,1064,2.982146361,3,21584,0.1196,3.462039046,35384,"36,477","15,503",55415,63147,63203,49614,1178,100200,32500,31322,50586,0.57,0.8,0.69,2,14,18,23,4
17,금천구,249419,76931,0.3084,0.51,114715,6%,0.06,6,1121,3.141904201,3,19139,0.1668,3.088791849,16497,"17,489","7,984",37127,35481,32903,25829,607,52800,23800,23193,26971,0.62,0.76,0.69,2,9,8,14,3
18,영등포구,403619,133280,0.3302,0.555,184714,4%,0.04,4,1487,4.167717705,4,34464,0.1866,2.928753181,25331,"29,393","12,834",59076,69245,56438,44304,975,100200,36500,35525,55896,0.6,0.81,0.71,2,3,5,6,1
19,동작구,392772,133295,0.3394,0.4655,184229,6%,0.06,6,2315,6.48841055,6,37122,0.2015,3.920277296,29160,"33,312","14,710",66545,62096,58912,46246,1118,91500,34900,33782,45254,0.51,0.73,0.61,1,7,4,25,13
20,관악구,502641,202677,0.4032,0.4401,274811,8%,0.08,8,6683,18.73090614,19,85368,0.3106,2.933014354,30710,"33,769","15,869",109135,86781,68484,53760,1206,112400,63800,62594,58640,0.57,0.68,0.62,4,1,1,7,11
21,서초구,401749,112339,0.2796,0.5351,173502,3%,0.03,3,607,1.701280865,2,21997,0.1268,2.735812133,43580,"54,302","22,226",55091,63224,77355,60724,1689,100200,24900,23211,39476,0.42,0.62,0.53,3,21,17,4,23
22,강남구,508135,147361,0.29,0.5298,234872,3%,0.03,3,945,2.648616833,3,36278,0.1545,2.974763407,59344,"69,537","29,996",73940,81838,99266,77924,2280,131700,34100,31820,53776,0.43,0.66,0.55,3,20,14,11,19
23,송파구,643288,197032,0.3063,0.5429,281959,4%,0.04,4,1335,3.741696796,4,35942,0.1275,3.363636364,62219,"71,092","30,007",94119,110590,109299,85800,2281,162300,47200,44919,76500,0.48,0.69,0.59,3,16,16,19,17
24,강동구,444434,128388,0.2889,0.5435,196499,4%,0.04,4,857,2.401973149,2,19742,0.1005,2.969818913,42374,"46,909","19,640",61457,72086,74044,58125,1493,117200,33200,31707,59075,0.52,0.82,0.68,2,18,21,10,6
