"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2020","서울특별시","계",9533412,285507,356875.5,369850.5,427350,631877.5,816546,719526,756788,714459,801398.5,762279.5,732788,689251,496050,385833.5,289716.5,297315.5,178205.5,119110,81871.5,29509.5,6768.5,960.5
"2020","서울특별시","남자",4642652.5,146911.5,182973.5,190280.5,219320.5,303775.5,402080.5,359044.5,379352.5,353614,396805.5,375169,356333,326997,233225,177616,130497.5,108656.5,72557.5,36099,26993,7378.5,1550,177.5
"2020","서울특별시","여자",4890759.5,138595.5,173902,179570,208029.5,328102,414465.5,360481.5,377435.5,360845,404593,387110.5,376455,362254,262825,208217.5,159219,188659,105648,83011,54878.5,22131,5218.5,783
"2020","종로구","계",144865.5,3309,4548.5,5120,6181.5,10602,12667.5,9995,9795.5,9649.5,12221,12286.5,12160,10734.5,7636.5,6244.5,5449.5,6264.5,3682,2582.5,1748.5,639,169,26
"2020","종로구","남자",70612.5,1668,2296.5,2575,3098.5,4975.5,6526,5004.5,4820,4635.5,5993,6072,6179.5,5409,3743.5,2842,2368.5,2405.5,1517,888.5,642,188.5,52,6
"2020","종로구","여자",74253,1641,2252,2545,3083,5626.5,6141.5,4990.5,4975.5,5014,6228,6214.5,5980.5,5325.5,3893,3402.5,3081,3859,2165,1694,1106.5,450.5,117,20
"2020","중구","계",121519.5,3482.5,3611,3092.5,3869,7605,10768,10031,10051,8464.5,9184,9864,10108,9512,6871.5,5474.5,4501,5030,2904,2126,1428.5,557.5,124,16
"2020","중구","남자",59535.5,1771.5,1851.5,1550,1975.5,3543,5289,4981,5050.5,4375.5,4635.5,5004.5,5127,4782,3379.5,2523,1942.5,1754,1125,629,438.5,153,32,5.5
"2020","중구","여자",61984,1711,1759.5,1542.5,1893.5,4062,5479,5050,5000.5,4089,4548.5,4859.5,4981,4730,3492,2951.5,2558.5,3276,1779,1497,990,404.5,92,10.5
"2020","용산구","계",219403.5,6548,7215.5,7168,8648,13540,19187,18518.5,18787.5,16188,18255,17807.5,16916,15451.5,10694,8500,7238,8741,5101.5,3639.5,2464,904,238,33.5
"2020","용산구","남자",106237,3392.5,3724.5,3611,4453,6360.5,9327.5,9239,9404.5,7951,8970.5,8800,8404,7544.5,5085,3809,3056,3104.5,1949.5,1155,846,229,74,6
"2020","용산구","여자",113166.5,3155.5,3491,3557,4195,7179.5,9859.5,9279.5,9383,8237,9284.5,9007.5,8512,7907,5609,4691,4182,5636.5,3152,2484.5,1618,675,164,27.5
"2020","성동구","계",291841,10620,10584.5,9309.5,11202.5,19866,25368,23850.5,25563,21810,23377.5,23434,23143,20781.5,14024.5,11034,8844.5,9028,5546.5,3481.5,2455,821,178,27.5
"2020","성동구","남자",142673,5462,5381.5,4734.5,5521,9628,12760,11445,12877,11091.5,11583,11614,11589,10243,6672.5,4991.5,3865.5,3214,2154.5,1059.5,798.5,207,47.5,6.5
"2020","성동구","여자",149168,5158,5203,4575,5681.5,10238,12608,12405.5,12686,10718.5,11794.5,11820,11554,10538.5,7352,6042.5,4979,5814,3392,2422,1656.5,614,130.5,21
"2020","광진구","계",343783,9107,11488,12259,14399,26069.5,35974.5,29172,27354.5,24710,27864,27567.5,26347.5,24044,16400.5,12293.5,9298.5,9434,5780.5,3653.5,2530,876,207,40.5
"2020","광진구","남자",166229.5,4653.5,5880.5,6279.5,7311.5,11947,17355,14388.5,13566,12209,13682.5,13315.5,12908.5,11466.5,7792.5,5712.5,4249,3512,2388,1124,833.5,239,44.5,7
"2020","광진구","여자",177553.5,4453.5,5607.5,5979.5,7087.5,14122.5,18619.5,14783.5,13788.5,12501,14181.5,14252,13439,12577.5,8608,6581,5049.5,5922,3392.5,2529.5,1696.5,637,162.5,33.5
"2020","동대문구","계",337801,9989.5,11437,11100,13225,25595,29694,24183.5,26077.5,24009.5,26402.5,26376,26082,25501.5,18788.5,15061.5,12222,12056,7391,4665,3317.5,1045.5,263,39
"2020","동대문구","남자",167564,5116,5887,5681,6639,12007.5,15684.5,12561.5,13439.5,12425.5,13548.5,13324,12985,12405,8978.5,6904,5420.5,4557,3064,1493,1130,285,70.5,7.5
"2020","동대문구","여자",170237,4873.5,5550,5419,6586,13587.5,14009.5,11622,12638,11584,12854,13052,13097,13096.5,9810,8157.5,6801.5,7499,4327,3172,2187.5,760.5,192.5,31.5
"2020","중랑구","계",390233,11146.5,12723,12421,15134.5,23983.5,31889.5,28443,29817.5,26967.5,30630.5,33612.5,35135,32693.5,22863,17331,13001.5,12440,7671.5,4768.5,3326,1151,256,35.5
"2020","중랑구","남자",193105.5,5758.5,6560,6345.5,7734,12031,15796,14490.5,15576.5,14146.5,15538.5,16484.5,17305.5,15933.5,11020.5,8018.5,5838,4528,3179,1349,1046,251.5,48.5,3
"2020","중랑구","여자",197127.5,5388,6163,6075.5,7400.5,11952.5,16093.5,13952.5,14241,12821,15092,17128,17829.5,16760,11842.5,9312.5,7163.5,7912,4492.5,3419.5,2280,899.5,207.5,32.5
"2020","성북구","계",432206,12936.5,16941.5,17406,20578.5,32047,34141.5,28190.5,32089.5,31746,38195.5,35425,32449.5,30547.5,21965.5,17793,14645,15108,9286,5822,4040,1443.5,302,36.5
"2020","성북구","남자",209001.5,6640.5,8637,8953.5,10432.5,14746.5,17334,14031,15952.5,15679,18856.5,17626,15742,14438,10273,7773,6362,5524.5,3718,1806.5,1385.5,351.5,62,7.5
"2020","성북구","여자",223204.5,6296,8304.5,8452.5,10146,17300.5,16807.5,14159.5,16137,16067,19339,17799,16707.5,16109.5,11692.5,10020,8283,9583.5,5568,4015.5,2654.5,1092,240,29
"2020","강북구","계",305511.5,7143.5,9409,10145,12601.5,19881.5,22976,18574.5,20838,21075,25765,25879,26041.5,25090.5,18881.5,16001.5,13170.5,12038,7678,4360,3051,1037,246,26
"2020","강북구","남자",148976.5,3669,4883.5,5221.5,6486,9447.5,11620,9712,10991.5,10901.5,13046,12658,12590,11905.5,8609,6945.5,5734,4556,3143.5,1412.5,1068.5,281.5,58,4.5
"2020","강북구","여자",156535,3474.5,4525.5,4923.5,6115.5,10434,11356,8862.5,9846.5,10173.5,12719,13221,13451.5,13185,10272.5,9056,7436.5,7482,4534.5,2947.5,1982.5,755.5,188,21.5
"2020","도봉구","계",325050,8515.5,11181.5,11792.5,14777,20810.5,23065.5,19395.5,22359.5,21936,27130.5,28235.5,28557.5,28136,19603,14988,12009.5,12556.5,7531,5025.5,3487,1231,264.5,43
"2020","도봉구","남자",158707.5,4444,5746,6060,7618.5,10561.5,11850,9931,11419.5,11001.5,13252.5,13402,13570.5,13369,9489,6999,5414.5,4579,3042.5,1536.5,1128.5,333,63.5,11.5
"2020","도봉구","여자",166342.5,4071.5,5435.5,5732.5,7158.5,10249,11215.5,9464.5,10940,10934.5,13878,14833.5,14987,14767,10114,7989,6595,7977.5,4488.5,3489,2358.5,898,201,31.5
"2020","노원구","계",522235,14382.5,20055,24379,30486,38164,35322.5,30142.5,35290,38353.5,48708,45803.5,41256.5,38305.5,27038.5,20473,16055,18020,10549,7471,5194,1813,414,50
"2020","노원구","남자",252409.5,7386,10319.5,12683,15834.5,19509.5,18335.5,15114,17460,18317.5,23152.5,22293,19823.5,17803,12667.5,9086,6658,5966.5,3863,2103.5,1558,446.5,92,7
"2020","노원구","여자",269825.5,6996.5,9735.5,11696,14651.5,18654.5,16987,15028.5,17830,20036,25555.5,23510.5,21433,20502.5,14371,11387,9397,12053.5,6686,5367.5,3636,1366.5,322,43
"2020","은평구","계",471906,13566.5,17095.5,18061,21492.5,29567.5,36466,31944,36498.5,35222.5,40886,38488,37115.5,35505.5,25714.5,21021.5,16630,16631,10437,6194,4345.5,1487,323.5,38
"2020","은평구","남자",227029,6906.5,8791.5,9280,10949.5,14474,17554,15605,18357.5,17495.5,20073.5,18684,17605.5,16593.5,11686.5,9332.5,7315.5,6324.5,4322,2002.5,1513,402.5,79.5,7.5
"2020","은평구","여자",244877,6660,8304,8781,10543,15093.5,18912,16339,18141,17727,20812.5,19804,19510,18912,14028,11689,9314.5,10306.5,6115,4191.5,2832.5,1084.5,244,30.5
"2020","서대문구","계",304074,9252,10997,10819,13182,22331.5,26806.5,21463,22907.5,21606,25117,24571,23311.5,21261.5,15103.5,12689.5,10763,11892.5,7322.5,4570,3186.5,1095.5,245.5,42.5
"2020","서대문구","남자",145927,4820,5526.5,5458.5,6606.5,10237,13478.5,10687.5,11350,10723,12395,11927.5,11240,10103,6990,5461.5,4550.5,4372,2914.5,1457.5,1099.5,304.5,46.5,7
"2020","서대문구","여자",158147,4432,5470.5,5360.5,6575.5,12094.5,13328,10775.5,11557.5,10883,12722,12643.5,12071.5,11158.5,8113.5,7228,6212.5,7520.5,4408,3112.5,2087,791,199,35.5
"2020","마포구","계",365392,12165,13517,13758.5,15098,25345,35312.5,31845,32513.5,28960.5,31587,27641.5,24954.5,22042,15390.5,12715.5,10765.5,11780.5,7061.5,4719,3318,1125,234.5,41.5
"2020","마포구","남자",172413,6280,6758,7001,7611.5,11338.5,16218,14644,15852,13949,15475,13580,12159.5,10307.5,6983,5346,4578.5,4331.5,2814,1517.5,1131.5,315.5,64,6.5
"2020","마포구","여자",192979,5885,6759,6757.5,7486.5,14006.5,19094.5,17201,16661.5,15011.5,16112,14061.5,12795,11734.5,8407.5,7369.5,6187,7449,4247.5,3201.5,2186.5,809.5,170.5,35
"2020","양천구","계",450971,12535,19785,24548.5,27028,29494.5,30526,26408,31828,35688.5,43225.5,39754.5,35972,32177.5,22822,16254,11087,11837,6874.5,4962.5,3416,1229,282,35.5
"2020","양천구","남자",221368,6459,10177,12786,14110,15344.5,15346.5,13136,15500,16814.5,20928,19769,17799.5,15381.5,11054,7821,5008.5,3933,2577,1356,981,310.5,57,7.5
"2020","양천구","여자",229603,6076,9608,11762.5,12918,14150,15179.5,13272,16328,18874,22297.5,19985.5,18172.5,16796,11768,8433,6078.5,7904,4297.5,3606.5,2435,918.5,225,28
"2020","강서구","계",579138,19060,22673.5,21346.5,24563.5,34599,52156.5,49505,50801.5,44750,46066,42346,43686.5,43128,30562,22459,15114.5,16320.5,9362.5,6958,4675.5,1829.5,404,49
"2020","강서구","남자",279975.5,9792,11540.5,10963,12501,16469,24072,24715.5,26139,22461,23057,20462,20503.5,20038.5,14222,10743,6850,5446.5,3520,1926.5,1413,404,97,12.5
"2020","강서구","여자",299162.5,9268,11133,10383.5,12062.5,18130,28084.5,24789.5,24662.5,22289,23009,21884,23183,23089.5,16340,11716,8264.5,10874,5842.5,5031.5,3262.5,1425.5,307,36.5
"2020","구로구","계",400914.5,13629,15694,14637.5,16137.5,23651.5,31640,30310,33112,30634.5,32339.5,31060,31480.5,30782.5,23042.5,17936,12725,12102.5,7526,4576.5,3230,1075,246,25.5
"2020","구로구","남자",197915.5,7018,7949.5,7490.5,8402,11593.5,15580,15241,17063,15740.5,16562.5,15337,15394.5,14569,10794.5,8668.5,5929,4582.5,3178,1404.5,1089,253.5,58,4
"2020","구로구","여자",202999,6611,7744.5,7147,7735.5,12058,16060,15069,16049,14894,15777,15723,16086,16213.5,12248,9267.5,6796,7520,4348,3172,2141,821.5,188,21.5
"2020","금천구","계",228342,6195,6926.5,6742,8430.5,14499,21987.5,18120,17092.5,15131.5,17704.5,19348,20449,18589.5,13044.5,9964,7353.5,6764.5,4158,2606.5,1848.5,597.5,137.5,23
"2020","금천구","남자",115594,3191.5,3527.5,3422.5,4269.5,7118.5,11460,10064.5,9408.5,8043.5,9095.5,9632.5,10240.5,9229.5,6268,4720,3371.5,2530.5,1734.5,796,626,127.5,38,4.5
"2020","금천구","여자",112748,3003.5,3399,3319.5,4161,7380.5,10527.5,8055.5,7684,7088,8609,9715.5,10208.5,9360,6776.5,5244,3982,4234,2423.5,1810.5,1222.5,470,99.5,18.5
"2020","영등포구","계",366258,12830,12781.5,11277,13174.5,21671.5,35861.5,34426.5,32554,26836.5,28001,27413.5,27447.5,25687,18600.5,14712.5,11147.5,11835.5,7187.5,4648,3297,1063,259,29
"2020","영등포구","남자",181332,6533.5,6491,5897.5,6920.5,10165,17020.5,17486.5,16998,13781.5,14375.5,13824.5,13857,12568.5,8932,6949,4999,4532.5,3042.5,1490,1143.5,281,62,3.5
"2020","영등포구","여자",184926,6296.5,6290.5,5379.5,6254,11506.5,18841,16940,15556,13055,13625.5,13589,13590.5,13118.5,9668.5,7763.5,6148.5,7303,4145,3158,2153.5,782,197,25.5
"2020","동작구","계",387858.5,11700,13855,13156.5,15381,27760.5,38372,31712.5,30938.5,28503.5,30269.5,28908,28632.5,27164,20038,16374.5,12343,12749.5,7675.5,5074,3489.5,1251,291.5,42
"2020","동작구","남자",187886,5950.5,7078,6790.5,7868.5,13070,19039,16047,15641,14311.5,15153,13908.5,13595.5,12599.5,9144,7210,5706,4773.5,3175,1598.5,1191.5,326.5,68.5,12
"2020","동작구","여자",199972.5,5749.5,6777,6366,7512.5,14690.5,19333,15665.5,15297.5,14192,15116.5,14999.5,15037,14564.5,10894,9164.5,6637,7976,4500.5,3475.5,2298,924.5,223,30
"2020","관악구","계",489798.5,10833,12872.5,12957.5,16558,39275,68411,48260,38692,32750,35438,33593.5,33476.5,32261,24836.5,20391.5,15530,13662.5,8699,4963.5,3479,1187.5,252.5,44.5
"2020","관악구","남자",245687,5592,6604.5,6680,8475.5,17388,35201,26688,21125.5,17538.5,18793.5,16878.5,16371,15091.5,11443.5,9340.5,7174.5,5301,3758,1543,1220,271.5,46,5.5
"2020","관악구","여자",244111.5,5241,6268,6277.5,8082.5,21887,33210,21572,17566.5,15211.5,16644.5,16715,17105.5,17169.5,13393,11051,8355.5,8361.5,4941,3420.5,2259,916,206.5,39
"2020","서초구","계",419614,13902.5,20972,22642,22784.5,25155,30068,29876,34206.5,36312.5,40042.5,33256,28018,26175.5,19405.5,15555.5,10482,10760,6104,4656,3015,1292,310.5,38.5
"2020","서초구","남자",200823,7186,10850,11524.5,11638.5,12331.5,14242,13795.5,15662.5,16619.5,19302,16593,13471.5,12108,8914,7190,5112,4282.5,2784.5,1498,1079,342,70.5,6.5
"2020","서초구","여자",218791,6716.5,10122,11117.5,11146,12823.5,15826,16080.5,18544,19693,20740.5,16663,14546.5,14067.5,10491.5,8365.5,5370,6477.5,3319.5,3158,1936,950,240,32
"2020","강남구","계",530126,14474,23152,28455,30921.5,33298.5,40650.5,39138,42965,45597,51533.5,42991,34960,31982.5,24546.5,19537,12852,13072,7317,5755,3692.5,1596.5,402.5,63.5
"2020","강남구","남자",253754.5,7446.5,12034,14826.5,16193,16261.5,19181,18133,19461,20609,24549.5,21670.5,17131,14725.5,11129.5,9124.5,6287.5,4991,3271.5,1719.5,1251,372,87.5,9
"2020","강남구","여자",276371.5,7027.5,11118,13628.5,14728.5,17037,21469.5,21005,23504,24988,26984,21320.5,17829,17257,13417,10412.5,6564.5,8081,4045.5,4035.5,2441.5,1224.5,315,54.5
"2020","송파구","계",662838,23246.5,28881,28805.5,31359.5,40725.5,53697.5,53717.5,57775,52945,55289.5,51854.5,49668.5,47011.5,33619.5,23486,15071.5,15684,8795,6889,4591,1819.5,415.5,63
"2020","송파구","남자",320336,12112.5,14814,14698,16129,19885.5,25319.5,25716,27814.5,25509.5,26682,25236,23772.5,22030.5,16184,11550.5,7266,5616,3674.5,1941.5,1428.5,427,74.5,11.5
"2020","송파구","여자",342502,11134,14067,14107.5,15230.5,20840,28378,28001.5,29960.5,27435.5,28607.5,26618.5,25896,24981,17435.5,11935.5,7805.5,10068,5120.5,4947.5,3162.5,1392.5,341,51.5
"2020","강동구","계",441732.5,14938,18478.5,18451.5,20136.5,26339.5,33536.5,32304,36880,34611.5,36165.5,34763,35419,34685,24557,17542.5,11417,11507.5,6564.5,4943,3246,1343,302.5,51.5
"2020","강동구","남자",217560,7662,9664,9767.5,10541.5,13341.5,16491,16187,18422.5,17283.5,18104.5,17072.5,16967,16352,11769.5,8555,5440.5,3938.5,2647.5,1291,951.5,275,56.5,8
"2020","강동구","여자",224172.5,7276,8814.5,8684,9595,12998,17045.5,16117,18457.5,17328,18061,17690.5,18452,18333,12787.5,8987.5,5976.5,7569,3917,3652,2294.5,1068,246,43.5
